2022-11-14-20:42:2.425,0,8.11,16.45,17.79,7.30,23.40,16.82,11.62,16.20,12.85
2022-11-14-20:42:3.415,0,8.18,16.61,18.02,7.44,23.65,16.99,11.89,16.40,13.12
2022-11-14-20:42:4.455,0,8.25,16.59,17.99,7.49,23.54,17.00,11.94,16.45,13.07
2022-11-14-20:42:5.426,0,8.23,16.59,17.97,7.49,23.54,16.97,11.90,16.37,13.07
2022-11-14-20:42:6.439,0,8.32,16.61,18.02,7.59,23.72,16.98,12.04,16.47,13.17
2022-11-14-20:42:7.452,0,8.30,16.59,17.95,7.56,23.63,16.91,11.95,16.53,13.03
2022-11-14-20:42:8.464,0,8.32,16.59,17.93,7.59,23.59,16.89,12.00,16.37,13.00
2022-11-14-20:42:9.479,0,8.35,16.54,17.88,7.63,23.60,16.98,12.00,16.38,13.09
2022-11-14-20:42:10.498,0,8.40,16.56,17.90,7.66,23.67,16.84,11.97,16.52,13.13
2022-11-14-20:42:11.508,0,8.11,16.29,17.65,7.47,23.24,16.58,11.46,16.00,13.15
2022-11-14-20:42:12.520,0,8.42,16.52,17.83,7.68,23.66,16.93,11.91,16.45,13.07
2022-11-14-20:42:13.528,0,8.42,16.49,17.79,7.68,23.59,16.87,11.82,16.31,13.11
2022-11-14-20:42:14.622,0,8.40,16.49,17.79,7.68,23.52,16.78,11.94,16.34,12.90
2022-11-14-20:42:15.618,0,8.44,16.47,17.77,7.71,23.57,16.88,11.96,16.33,13.12
2022-11-14-20:42:16.606,0,8.47,16.47,17.77,7.71,23.61,16.82,11.93,16.31,13.08
2022-11-14-20:42:17.644,0,8.47,16.47,17.77,7.71,23.60,16.82,11.91,16.36,13.02
2022-11-14-20:42:18.592,0,8.47,16.47,17.74,7.73,23.60,16.75,11.99,16.34,13.00
2022-11-14-20:42:19.603,0,8.49,16.45,17.72,7.71,23.49,16.83,11.94,16.30,13.04
2022-11-14-20:42:20.615,0,8.47,16.34,17.61,7.59,23.12,16.31,11.45,15.92,12.64
2022-11-14-20:42:21.627,0,8.47,16.34,17.68,7.73,23.43,16.65,11.85,16.25,13.00
2022-11-14-20:42:22.640,0,8.51,16.36,17.68,7.75,23.55,16.68,11.86,16.25,13.07
2022-11-14-20:42:23.653,0,8.49,16.31,17.68,7.73,23.51,16.69,11.78,16.16,13.01
2022-11-14-20:42:24.666,0,8.51,16.34,17.65,7.83,23.57,16.68,11.91,16.19,12.96
2022-11-14-20:42:25.685,0,8.54,16.34,17.65,7.80,23.55,16.71,11.75,16.15,12.98
2022-11-14-20:42:26.692,0,8.56,16.31,17.65,7.83,23.57,16.65,11.91,16.29,13.12
2022-11-14-20:42:27.705,0,8.56,16.31,17.65,7.85,23.57,16.65,11.93,16.24,13.03
2022-11-14-20:42:28.718,0,8.59,16.27,17.61,7.85,23.61,16.65,11.79,16.23,12.93
2022-11-14-20:42:29.784,0,8.44,16.09,17.40,7.71,23.14,16.18,11.70,16.23,13.13
2022-11-14-20:42:30.743,0,8.66,16.29,17.61,7.90,23.56,16.60,11.67,16.23,12.96
2022-11-14-20:42:31.785,0,8.66,16.24,17.58,7.92,23.55,16.53,11.72,16.12,13.01
2022-11-14-20:42:32.768,0,8.66,16.22,17.56,7.94,23.54,16.49,11.80,16.20,13.08
2022-11-14-20:42:33.785,0,8.66,16.27,17.56,7.97,23.57,16.55,11.75,16.17,12.98
2022-11-14-20:42:34.793,0,8.70,16.22,17.56,7.92,23.60,16.55,11.79,16.22,12.99
2022-11-14-20:42:35.806,0,8.68,16.22,17.56,7.94,23.54,16.59,11.80,16.15,13.06
2022-11-14-20:42:36.819,0,8.75,16.22,17.52,7.97,23.61,16.53,11.84,16.19,13.03
2022-11-14-20:42:37.832,0,8.75,16.22,17.49,7.99,23.66,16.48,11.80,16.23,13.06
2022-11-14-20:42:38.845,0,8.49,15.97,17.29,7.83,23.30,16.11,11.68,16.23,13.13
2022-11-14-20:42:39.860,0,8.75,16.20,17.49,7.99,23.51,16.47,11.80,16.16,13.02
2022-11-14-20:42:40.872,0,8.80,16.20,17.49,8.04,23.54,16.60,11.88,16.15,13.00
2022-11-14-20:42:41.885,0,8.82,16.20,17.45,8.04,23.68,16.42,11.95,16.14,13.05
2022-11-14-20:42:42.898,0,8.82,16.20,17.43,8.06,23.57,16.46,11.93,16.10,13.08
2022-11-14-20:42:52.912,0,8.87,16.13,17.33,8.16,23.64,16.42,11.81,16.19,13.08
2022-11-14-20:43:2.928,0,8.96,16.04,17.29,8.25,23.70,16.33,11.85,16.06,13.12
2022-11-14-20:43:13.39,0,9.01,15.97,17.27,8.32,23.69,16.28,11.86,16.06,12.95
2022-11-14-20:43:22.947,0,9.10,15.90,17.18,8.37,23.69,16.19,11.83,16.01,12.84
2022-11-14-20:43:32.960,0,9.18,15.86,17.09,8.40,23.69,16.15,11.67,15.93,13.07
2022-11-14-20:43:42.973,0,9.18,15.84,16.99,8.42,23.75,16.04,11.61,15.97,13.07
2022-11-14-20:43:53.78,0,8.96,15.52,16.72,8.23,23.32,15.86,11.68,15.89,13.02
2022-11-14-20:44:3.4,0,9.20,15.68,16.88,8.40,23.68,15.96,11.61,15.86,12.83
2022-11-14-20:44:13.50,0,9.20,15.61,16.81,8.42,23.74,15.92,11.61,15.76,12.95
2022-11-14-20:44:23.23,0,9.22,15.54,16.77,8.40,23.74,15.89,11.49,15.70,12.95
2022-11-14-20:44:33.35,0,9.25,15.52,16.70,8.42,23.70,15.81,11.48,15.70,12.93
2022-11-14-20:44:43.51,0,9.22,15.45,16.63,8.37,23.73,15.74,11.50,15.70,12.81
2022-11-14-20:44:53.59,0,9.25,15.34,16.61,8.40,23.80,15.76,11.39,15.70,12.81
2022-11-14-20:45:3.233,0,9.22,15.34,16.56,8.35,23.84,15.67,11.35,15.62,12.74
2022-11-14-20:45:13.162,0,9.22,15.27,16.56,8.32,23.87,15.71,11.31,15.56,12.84
2022-11-14-20:45:23.96,0,9.01,15.02,16.27,8.09,23.47,15.30,10.96,15.15,12.55
2022-11-14-20:45:33.109,0,9.20,15.13,16.45,8.28,23.85,15.65,11.20,15.57,12.71
2022-11-14-20:45:43.123,0,9.20,15.13,16.38,8.25,23.82,15.53,11.18,15.50,12.68
2022-11-14-20:45:53.135,0,9.20,15.11,16.36,8.23,23.81,15.51,11.12,15.41,12.66
2022-11-14-20:46:3.233,0,9.20,15.08,16.31,8.18,23.87,15.49,11.14,15.47,12.68
2022-11-14-20:46:13.164,0,9.15,14.99,16.27,8.13,23.80,15.42,11.12,15.45,12.63
2022-11-14-20:46:23.172,0,9.15,14.99,16.22,8.13,23.87,15.43,11.13,15.37,12.50
2022-11-14-20:46:33.184,0,9.13,14.90,16.20,8.09,23.79,15.25,11.04,15.33,12.60
2022-11-14-20:46:37.376,1,9.13,14.90,16.20,8.09,23.91,15.29,11.05,15.33,12.63
2022-11-14-20:46:38.389,1,9.10,14.90,16.20,8.09,23.77,15.36,11.14,15.42,12.65
2022-11-14-20:46:39.402,1,9.10,14.95,16.22,8.06,23.89,15.29,11.16,15.33,12.66
2022-11-14-20:46:40.413,1,8.85,14.77,16.06,7.78,24.00,15.43,11.31,15.42,12.70
2022-11-14-20:46:41.431,1,9.10,14.99,16.31,8.04,23.81,15.43,11.21,15.44,12.73
2022-11-14-20:46:42.461,1,9.10,14.99,16.38,8.04,23.80,15.47,11.21,15.36,12.73
2022-11-14-20:46:43.459,1,9.08,15.06,16.45,8.02,23.83,15.44,11.21,15.34,12.55
2022-11-14-20:46:44.463,1,9.13,15.13,16.47,7.99,23.82,15.55,11.35,15.41,12.73
2022-11-14-20:46:45.476,1,9.13,15.13,16.47,7.97,23.81,15.57,11.32,15.44,12.68
2022-11-14-20:46:46.489,1,9.15,15.15,16.54,7.99,23.89,15.63,11.45,15.52,12.72
2022-11-14-20:46:47.503,1,9.13,15.18,16.54,7.97,23.80,15.67,11.43,15.54,12.69
2022-11-14-20:46:48.517,0,9.15,15.20,16.56,7.99,23.74,15.70,11.46,15.53,12.66
2022-11-14-20:46:49.527,0,8.87,15.06,16.31,7.80,23.65,15.70,11.54,15.57,12.53
2022-11-14-20:46:50.544,0,9.10,15.20,16.56,7.97,23.81,15.71,11.48,15.57,12.65
2022-11-14-20:46:51.553,0,9.10,15.27,16.59,7.97,23.84,15.71,11.49,15.59,12.54
2022-11-14-20:46:52.564,0,9.13,15.36,16.59,7.97,23.80,15.74,11.46,15.47,12.67
2022-11-14-20:46:53.577,0,9.13,15.36,16.59,7.97,23.78,15.71,11.40,15.53,12.67
2022-11-14-20:46:54.669,0,9.13,15.36,16.59,7.97,23.70,15.70,11.45,15.51,12.64
2022-11-14-20:46:55.743,0,9.06,15.38,16.59,7.94,23.82,15.55,11.45,15.48,12.55
2022-11-14-20:46:56.625,0,9.15,15.38,16.59,7.97,23.75,15.65,11.41,15.59,12.66
2022-11-14-20:46:57.631,0,9.13,15.36,16.59,7.99,23.78,15.60,11.37,15.53,12.69
2022-11-14-20:46:58.641,0,8.85,15.13,16.40,7.73,23.39,15.15,11.22,15.55,12.68
2022-11-14-20:46:59.654,0,9.08,15.34,16.59,7.92,23.75,15.64,11.46,15.44,12.53
2022-11-14-20:47:0.701,0,9.10,15.34,16.59,7.94,23.86,15.59,11.45,15.48,12.63
2022-11-14-20:47:1.678,0,9.08,15.29,16.56,7.87,23.80,15.59,11.43,15.52,12.54
2022-11-14-20:47:2.690,0,9.08,15.27,16.59,7.92,23.79,15.56,11.37,15.50,12.67
2022-11-14-20:47:3.703,0,9.06,15.29,16.56,7.87,23.78,15.55,11.34,15.49,12.55
2022-11-14-20:47:4.715,0,9.06,15.27,16.56,7.92,23.83,15.56,11.47,15.48,12.62
2022-11-14-20:47:5.728,0,9.08,15.24,16.56,7.90,23.80,15.60,11.35,15.46,12.56
2022-11-14-20:47:6.745,0,9.08,15.22,16.56,7.90,23.75,15.61,11.36,15.51,12.64
2022-11-14-20:47:7.835,0,8.82,15.02,16.34,7.73,23.46,15.21,11.17,15.51,12.68
2022-11-14-20:47:8.765,0,9.10,15.20,16.56,7.92,23.81,15.57,11.41,15.39,12.66
2022-11-14-20:47:9.779,0,9.08,15.18,16.52,7.90,23.76,15.50,11.33,15.52,12.65
2022-11-14-20:47:10.792,0,9.06,15.15,16.52,7.87,23.77,15.50,11.41,15.44,12.64
2022-11-14-20:47:11.807,0,9.08,15.15,16.52,7.87,23.75,15.42,11.44,15.43,12.64
2022-11-14-20:47:12.818,0,9.08,15.15,16.52,7.90,23.78,15.56,11.42,15.43,12.61
2022-11-14-20:47:13.836,0,8.99,15.13,16.49,7.87,23.77,15.42,11.35,15.36,12.51
2022-11-14-20:47:14.892,0,9.06,15.11,16.47,7.87,23.71,15.47,11.34,15.43,12.63
2022-11-14-20:47:15.931,0,9.03,15.13,16.47,7.87,23.77,15.37,11.23,15.41,12.60
2022-11-14-20:47:16.975,0,8.82,14.93,16.27,7.71,23.56,15.51,11.45,15.50,12.64
2022-11-14-20:47:18.87,0,9.06,15.13,16.49,7.92,23.83,15.53,11.42,15.49,12.51
2022-11-14-20:47:18.944,0,9.08,15.13,16.49,7.92,23.87,15.57,11.41,15.47,12.64
2022-11-14-20:47:19.925,0,9.10,15.13,16.45,7.90,23.80,15.47,11.31,15.41,12.57
2022-11-14-20:47:20.918,0,9.06,15.13,16.47,7.90,23.88,15.54,11.40,15.39,12.65
2022-11-14-20:47:21.932,0,9.06,15.11,16.38,7.87,23.89,15.47,11.40,15.41,12.62
2022-11-14-20:47:22.943,0,8.82,14.90,16.22,7.71,23.55,15.17,11.10,15.15,12.36
2022-11-14-20:47:23.971,0,9.08,15.08,16.43,7.85,23.73,15.45,11.27,15.38,12.56
2022-11-14-20:47:24.971,0,9.06,15.11,16.43,7.90,23.86,15.51,11.32,15.42,12.62
2022-11-14-20:47:25.980,0,8.82,14.81,16.22,7.71,23.57,15.05,11.26,15.47,12.65
2022-11-14-20:47:26.995,0,9.01,15.08,16.38,7.85,23.91,15.45,11.34,15.39,12.58
2022-11-14-20:47:28.6,0,9.06,15.11,16.43,7.85,23.90,15.44,11.30,15.42,12.47
2022-11-14-20:47:29.19,0,9.01,15.04,16.34,7.85,23.86,15.41,11.25,15.47,12.57
2022-11-14-20:47:30.92,0,9.03,15.02,16.34,7.85,23.81,15.34,11.22,15.33,12.57
2022-11-14-20:47:31.45,0,9.03,15.02,16.29,7.85,23.82,15.30,11.21,15.37,12.51
2022-11-14-20:47:32.118,0,8.99,15.04,16.31,7.83,23.84,15.37,11.22,15.39,12.44
2022-11-14-20:47:33.68,0,9.03,15.02,16.29,7.83,23.89,15.44,11.23,15.37,12.56
2022-11-14-20:47:34.85,0,9.01,14.99,16.27,7.85,23.75,15.31,11.27,15.36,12.52
2022-11-14-20:47:35.94,0,8.80,14.79,16.15,7.68,23.45,14.97,11.10,15.37,12.54
2022-11-14-20:47:36.109,0,9.01,14.97,16.27,7.80,23.81,15.23,11.22,15.26,12.57
2022-11-14-20:47:37.122,0,9.01,14.99,16.27,7.83,23.87,15.28,11.26,15.27,12.56
2022-11-14-20:47:38.134,0,9.01,14.97,16.29,7.83,23.87,15.32,11.23,15.37,12.48
2022-11-14-20:47:39.147,0,9.03,14.97,16.27,7.80,23.88,15.33,11.21,15.26,12.46
2022-11-14-20:47:40.160,0,9.03,14.99,16.24,7.87,23.82,15.28,11.25,15.37,12.54
2022-11-14-20:47:41.173,0,8.96,14.95,16.24,7.83,23.86,15.35,11.12,15.36,12.44
2022-11-14-20:47:42.186,0,8.99,14.93,16.24,7.83,23.89,15.27,11.21,15.30,12.46
2022-11-14-20:47:43.247,0,9.01,14.95,16.24,7.83,23.96,15.38,11.19,15.36,12.50
2022-11-14-20:47:44.223,0,8.82,14.74,16.06,7.80,23.95,15.35,11.24,15.36,12.35
2022-11-14-20:47:45.225,0,9.01,14.90,16.24,7.78,23.99,15.24,11.20,15.29,12.50
2022-11-14-20:47:46.235,0,9.01,14.90,16.22,7.78,23.88,15.27,11.22,15.40,12.46
2022-11-14-20:47:47.249,0,9.01,14.90,16.22,7.78,23.85,15.34,11.15,15.22,12.46
2022-11-14-20:47:48.262,1,8.96,14.97,16.27,7.94,23.94,15.29,11.04,15.40,12.67
2022-11-14-20:47:49.272,1,8.89,15.04,16.31,8.04,23.88,15.35,11.14,15.45,12.63
2022-11-14-20:47:50.287,1,8.94,15.13,16.36,7.99,23.93,15.24,11.26,15.46,12.66
2022-11-14-20:47:51.305,1,8.92,15.13,16.45,7.94,23.97,15.41,11.35,15.48,12.68
2022-11-14-20:47:52.314,1,8.92,15.13,16.45,7.92,23.88,15.31,11.30,15.42,12.67
2022-11-14-20:47:53.323,0,8.70,14.95,16.27,7.71,23.46,14.80,11.16,15.46,12.63
2022-11-14-20:47:54.534,0,8.92,15.13,16.54,7.83,23.85,15.36,11.28,15.47,12.65
2022-11-14-20:47:55.355,0,8.92,15.13,16.56,7.83,23.77,15.35,11.30,15.41,12.62
2022-11-14-20:47:56.370,0,8.92,15.13,16.54,7.80,23.85,15.27,11.30,15.37,12.57
